session 2026-09-09T01:03:47 batch=256 1.5 s CPU 0
msvc actors=16 batch=256 rounds=957440 events=245104640 elapsed_ns=1500980400 ns_per_event=6.12
msvc actors=256 batch=256 rounds=946176 events=242221056 elapsed_ns=1500884000 ns_per_event=6.20
msvc actors=1024 batch=256 rounds=844800 events=216268800 elapsed_ns=1500977400 ns_per_event=6.94
msvc actors=4096 batch=256 rounds=536576 events=137363456 elapsed_ns=1500220400 ns_per_event=10.92
msvc actors=16384 batch=256 rounds=346112 events=88604672 elapsed_ns=1501079000 ns_per_event=16.94
clang actors=16 batch=256 rounds=1137664 events=291241984 elapsed_ns=1501001400 ns_per_event=5.15
clang actors=256 batch=256 rounds=1075200 events=275251200 elapsed_ns=1501122800 ns_per_event=5.45
clang actors=1024 batch=256 rounds=943104 events=241434624 elapsed_ns=1501204900 ns_per_event=6.22
clang actors=4096 batch=256 rounds=586752 events=150208512 elapsed_ns=1500600800 ns_per_event=9.99
clang actors=16384 batch=256 rounds=376832 events=96468992 elapsed_ns=1502096900 ns_per_event=15.57
msvc actors=16 batch=256 rounds=1002496 events=256638976 elapsed_ns=1500072700 ns_per_event=5.85
msvc actors=256 batch=256 rounds=882688 events=225968128 elapsed_ns=1500995800 ns_per_event=6.64
msvc actors=1024 batch=256 rounds=840704 events=215220224 elapsed_ns=1500371400 ns_per_event=6.97
msvc actors=4096 batch=256 rounds=521216 events=133431296 elapsed_ns=1502048100 ns_per_event=11.26
msvc actors=16384 batch=256 rounds=350208 events=89653248 elapsed_ns=1503739600 ns_per_event=16.77
clang actors=16 batch=256 rounds=1164288 events=298057728 elapsed_ns=1500215800 ns_per_event=5.03
clang actors=256 batch=256 rounds=1068032 events=273416192 elapsed_ns=1500145900 ns_per_event=5.49
clang actors=1024 batch=256 rounds=941056 events=240910336 elapsed_ns=1500935700 ns_per_event=6.23
clang actors=4096 batch=256 rounds=500736 events=128188416 elapsed_ns=1502792000 ns_per_event=11.72
clang actors=16384 batch=256 rounds=367616 events=94109696 elapsed_ns=1501852000 ns_per_event=15.96
msvc actors=16 batch=256 rounds=939008 events=240386048 elapsed_ns=1500393600 ns_per_event=6.24
msvc actors=256 batch=256 rounds=865280 events=221511680 elapsed_ns=1500264200 ns_per_event=6.77
msvc actors=1024 batch=256 rounds=833536 events=213385216 elapsed_ns=1500571900 ns_per_event=7.03
msvc actors=4096 batch=256 rounds=460800 events=117964800 elapsed_ns=1503019400 ns_per_event=12.74
msvc actors=16384 batch=256 rounds=353280 events=90439680 elapsed_ns=1504080300 ns_per_event=16.63
clang actors=16 batch=256 rounds=1105920 events=283115520 elapsed_ns=1500356500 ns_per_event=5.30
clang actors=256 batch=256 rounds=1097728 events=281018368 elapsed_ns=1500539800 ns_per_event=5.34
clang actors=1024 batch=256 rounds=965632 events=247201792 elapsed_ns=1501428600 ns_per_event=6.07
clang actors=4096 batch=256 rounds=561152 events=143654912 elapsed_ns=1501439300 ns_per_event=10.45
clang actors=16384 batch=256 rounds=376832 events=96468992 elapsed_ns=1501579400 ns_per_event=15.57
end 2026-09-09T01:04:33
